iter	Passed	Remaining
0	139	139512
1	140	70035
2	140	46844
3	141	35243
4	142	28284
5	142	23644
6	143	20331
7	143	17845
8	144	15912
9	145	14366
10	145	13099
11	146	12046
12	146	11153
13	147	10386
14	148	9719
15	148	9133
16	149	8616
17	149	8165
18	150	7753
19	150	7382
20	151	7046
21	151	6741
22	152	6462
23	152	6206
24	153	5971
25	153	5754
26	154	5554
27	154	5369
28	155	5197
29	155	5035
30	156	4884
31	156	4743
32	157	4609
33	157	4484
34	158	4366
35	158	4254
36	159	4148
37	160	4055
38	160	3963
39	161	3874
40	162	3789
41	162	3707
42	163	3629
43	163	3555
44	164	3483
45	164	3415
46	165	3350
47	165	3287
48	166	3227
49	166	3170
50	167	3114
51	167	3061
52	168	3009
53	168	2959
54	169	2911
55	170	2865
56	170	2821
57	171	2779
58	171	2738
59	172	2700
60	172	2662
61	173	2624
62	174	2588
63	174	2552
64	175	2518
65	175	2485
66	176	2452
67	176	2417
68	176	2387
69	177	2358
70	177	2328
71	178	2300
72	179	2273
73	179	2246
74	180	2221
75	180	2196
76	181	2171
77	181	2147
78	182	2123
79	182	2100
80	183	2078
81	183	2056
82	184	2035
83	184	2014
84	185	1992
85	185	1973
86	186	1952
87	186	1934
88	187	1915
89	187	1897
90	188	1880
91	188	1862
92	189	1846
93	189	1829
94	190	1812
95	190	1796
96	191	1780
97	191	1766
98	192	1751
99	192	1736
100	193	1721
101	193	1705
102	194	1691
103	194	1678
104	195	1664
105	195	1651
106	196	1638
107	196	1625
108	197	1613
109	197	1601
110	198	1588
111	198	1577
112	199	1565
113	200	1554
114	200	1543
115	200	1531
116	201	1520
117	201	1509
118	202	1498
119	202	1488
120	203	1477
121	203	1467
122	204	1456
123	204	1446
124	205	1436
125	205	1427
126	206	1418
127	206	1407
128	207	1398
129	207	1390
130	208	1381
131	208	1373
132	209	1364
133	209	1356
134	210	1348
135	210	1340
136	211	1332
137	211	1323
138	212	1315
139	212	1308
140	213	1300
141	214	1293
142	214	1286
143	215	1278
144	215	1271
145	216	1264
146	216	1257
147	217	1250
148	217	1244
149	218	1237
150	218	1230
151	219	1223
152	219	1217
153	220	1211
154	220	1204
155	221	1198
156	222	1192
157	222	1185
158	223	1179
159	223	1173
160	224	1167
161	224	1161
162	225	1156
163	225	1150
164	226	1144
165	226	1139
